CONTRACT_NC_ID	MUTATION	EXPECTED_IMPLEMENTATION_SUBCODE	CONTRACT_CODE	METHOD	STATUS_OR_NOTE
NC19	mutate final receipt cap so it differs from start-of-contract declared cap	FAIL_FLAMBDA_CAP_PIN / FAIL_ANCHOR_CAP_PIN / FAIL_CHECKER_FLAMBDA_CAP_PIN / FAIL_CHECKER_ANCHOR_CAP_PIN	FAIL_BUDGET_CONTRACT_MUTATION	RECEIPT_MUTATION	choose one load-bearing cap field and freeze exact emitted subcode
NC21	set candidate nominal parent width outside {1/4,1/8,1/16}	FAIL_PARENT_WIDTH	FAIL_UNSUPPORTED_NOMINAL_WIDTH	PRECHECK_MUTATION	dedicated unsupported-width control
NC22	change producer evidence class BINDING_CANDIDATE to BINDING	FAIL_PRODUCER_EVIDENCE_CLASS or FAIL_PRODUCER_BINDING_STATE	FAIL_EVIDENCE_CLASS	RECEIPT_MUTATION	self-promotion specific
NC23	set checker_dps below producer_dps	FAIL_CHECKER_DPS_CONTRACT	FAIL_CHECKER_PRECISION	RECEIPT_MUTATION	
NC24	mutate supplied lambda_L away from reconstructed value for candidate+cell index	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_PARENT_GEOMETRY_RECONSTRUCTION	RECEIPT_MUTATION	left-endpoint-specific
NC25	dirty source tree or move HEAD between pre/post state	FAIL_DIRTY_SOURCE_TREE / FAIL_HEAD_MISMATCH / FAIL_POST_HEAD_MOVED / FAIL_POST_SOURCE_DIRTY	FAIL_SOURCE_STATE	PRECHECK_MUTATION	two subfamilies allowed under one contract row
NC26	mutate residual: omit/duplicate/non-final/nonpositive/too-wide/wrong final endpoint	FAIL_TILE_* or FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	RECEIPT_MUTATION	dedicated residual control; one or more subcases
NC27	mutate shared frozen F_lambda kernel SHA pin	FAIL_KERNEL_MANIFEST_PIN	FAIL_SOURCE_PIN	PRECHECK_MUTATION	
NC28	remove/mutate transport lemma ID/audit/Judge/signature receipt link	FAIL_TRANSPORT_LEMMA_ID / FAIL_TRANSPORT_HUMAN_AUDIT / FAIL_JUDGE_VERDICT / FAIL_SIGNATURE_RECEIPT_LINK	FAIL_TRANSPORT_LEMMA	RECEIPT_MUTATION	freeze at least one exact subcase; optionally all
NC04b	mutate q_left or q_right while leaving A0B exact pin record unchanged	NEW: FAIL_PREDICTOR_INPUT_PIN	FAIL_PREDICTOR_INPUT_PIN	RECEIPT_MUTATION	blocked until A0B exact pin record exists; do not alias existing predictor controls for execution
