CONTROL_ID	NAME	EXACT_IMPLEMENTATION_SUBCODE	CONTRACT_CODE	METHOD	FREEZE_STATUS
NC21	UNSUPPORTED_NOMINAL_PARENT_WIDTH	FAIL_PARENT_WIDTH	FAIL_UNSUPPORTED_NOMINAL_WIDTH	STATIC_SINGLE_CODE	READY
NC22	EVIDENCE_CLASS_SELF_PROMOTION	FAIL_PRODUCER_EVIDENCE_CLASS	FAIL_EVIDENCE_CLASS	DRY_PRECHECK	PENDING_FREEZE
NC23	CHECKER_DPS_BELOW_PRODUCER	FAIL_CHECKER_DPS_CONTRACT	FAIL_CHECKER_PRECISION	STATIC_SINGLE_CODE	READY
NC24	PARENT_LEFT_ENDPOINT_MISMATCH	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_PARENT_GEOMETRY_RECONSTRUCTION	STATIC_SINGLE_CODE	READY
NC25a	SOURCE_STATE_DIRTY_TREE	FAIL_DIRTY_SOURCE_TREE	FAIL_SOURCE_STATE	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC25b	SOURCE_STATE_HEAD_MISMATCH	FAIL_HEAD_MISMATCH	FAIL_SOURCE_STATE	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC26a	RESIDUAL_OMITTED	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC26b	RESIDUAL_DUPLICATED	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC26c	RESIDUAL_NON_FINAL	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC26d	RESIDUAL_WIDTH_NONPOSITIVE	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC26e	RESIDUAL_WIDTH_TOO_WIDE	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC26f	RESIDUAL_FINAL_ENDPOINT_MISMATCH	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC27	SHARED_FLAMBDA_KERNEL_PIN_MISMATCH	FAIL_KERNEL_MANIFEST_PIN	FAIL_SOURCE_PIN	STATIC_SINGLE_CODE	READY
NC28a	TRANSPORT_LEMMA_ID_MISSING_OR_WRONG	FAIL_TRANSPORT_LEMMA_ID	FAIL_TRANSPORT_LEMMA	DRY_PRECHECK	PENDING_FREEZE
NC28b	TRANSPORT_AUDIT_MISSING_OR_WRONG	FAIL_TRANSPORT_HUMAN_AUDIT	FAIL_TRANSPORT_LEMMA	DRY_PRECHECK	PENDING_FREEZE
NC28c	JUDGE_VERDICT_NOT_PASS	FAIL_JUDGE_VERDICT	FAIL_TRANSPORT_LEMMA	DRY_PRECHECK	PENDING_FREEZE
NC28d	SIGNATURE_RECEIPT_SHA_MISMATCH	FAIL_SIGNATURE_RECEIPT_LINK	FAIL_TRANSPORT_LEMMA	DRY_PRECHECK	PENDING_FREEZE
NC32	REQUIRED_SIGN_MISSING	FAIL_REQUIRED_SIGN_MISSING	FAIL_REQUIRED_SIGN_MISSING	EXISTING_REPLAY	READY
NC04b	PREDICTOR_INPUT_PIN_MUTATION	FAIL_PREDICTOR_INPUT_PIN	FAIL_PREDICTOR_INPUT_PIN	A0B_PIN_REQUIRED	FROZEN_EXACT_SUBCODE
CUSTOM_ACCEPT	CUSTOM_PREDICATE_FORBIDDEN	FAIL_CUSTOM_PREDICATE_FORBIDDEN	FAIL_CUSTOM_PREDICATE_FORBIDDEN	EXISTING_REPLAY	READY
