CONTRACT_NC_ID	CONTRACT_EXPECTED_CODE	CATALOG_ID(s)	CATALOG_OBSERVED_CODE	IMPLEMENTATION_SUBCODE_TO_CONTRACT_CODE	COVERAGE	METHOD_OR_NOTE
NC11	FAIL_UNRESOLVED		ANGULAR_EVALUATION_BUDGET	ANGULAR_EVALUATION_BUDGET -> FAIL_UNRESOLVED	COVERED	gate-unit sub-code mapping predeclared before execution; native route unresolved/budget exhaustion is an EnclosureFailure; checker upstream wrapper is FAIL_FLAMBDA_BUDGET_OR_ENCLOSURE; tiny-cap execution required before COVERED execution evidence: receipt F_LAMBDA_NC11_UNRESOLVED_GATE_RUN_V1.json sha256=e400830340df7743bd5a042dd68ae8b2f925e230130d03c27dbb64c37e6e91ea commit=7283be452a6223400d53bdb3c8ac0ab755a8411c
NC12	FAIL_NORMALIZATION_MISMATCH			FAIL_FLAMBDA_NORMALIZATION_BITS -> FAIL_NORMALIZATION_MISMATCH	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC12_NORMALIZATION_BITS_GATE_RUN_V1.json
NC13	FAIL_ANCHOR_EVIDENCE_CLASS			FAIL_ANCHOR_EVIDENCE -> FAIL_ANCHOR_EVIDENCE_CLASS	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC13_ANCHOR_EVIDENCE_GATE_RUN_V1.json
NC14	FAIL_ANCHOR_PIN			FAIL_TRANSPORT_RECEIPT_PIN/FAIL_SIGNATURE_RECEIPT_LINK candidate -> FAIL_ANCHOR_PIN	MISSING	
NC15	FAIL_ANCHOR_SIGN			FAIL_ANCHOR_SIGN_NEG;FAIL_ANCHOR_SIGN_POS;FAIL_ANCHOR_SIGN_CONTRACT -> FAIL_ANCHOR_SIGN	MISSING	needs numerics or permitted receipt mutation
NC16	FAIL_BUDGET			FAIL_FLAMBDA_BUDGET -> FAIL_BUDGET	COVERED	needs numerics or permitted receipt mutation; promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC16_FLAMBDA_BUDGET_GATE_RUN_V1.json
NC17	FAIL_BUDGET			FAIL_ANCHOR_BUDGET -> FAIL_BUDGET	COVERED	needs numerics or permitted receipt mutation; promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC17_ANCHOR_BUDGET_GATE_RUN_V1.json
NC18	FAIL_PARENT_BUDGET			FAIL_PARENT_TOTAL_BUDGET;FAIL_CHECKER_PARENT_TOTAL_BUDGET -> FAIL_PARENT_BUDGET	MISSING	
NC19	FAIL_BUDGET_CONTRACT_MUTATION			FAIL_FLAMBDA_CAP_PIN;FAIL_ANCHOR_CAP_PIN;FAIL_CHECKER_*_CAP_PIN -> FAIL_BUDGET_CONTRACT_MUTATION	MISSING	
NC20	FAIL_CHECKER_NOT_INDEPENDENT	CANONICAL_V1_NC20	FAIL_PRODUCER_GLUE_DEPENDENCY	FAIL_PRODUCER_GLUE_DEPENDENCY -> FAIL_CHECKER_NOT_INDEPENDENT	COVERED	shared pinned kernel remains allowed
NC21	FAIL_UNSUPPORTED_NOMINAL_WIDTH	CANONICAL_V1_NC11	FAIL_TUBE_GEOMETRY_RECONSTRUCTION	FAIL_PARENT_WIDTH -> FAIL_UNSUPPORTED_NOMINAL_WIDTH	PARTIAL	existing v1 mutation is related but not dedicated unsupported-width control
NC22	FAIL_EVIDENCE_CLASS	CANONICAL_V1_NC02	FAIL_PRODUCER_EVIDENCE_CLASS	FAIL_PRODUCER_EVIDENCE_CLASS -> FAIL_EVIDENCE_CLASS	PARTIAL	need explicit BINDING_CANDIDATE->BINDING mutation
NC23	FAIL_CHECKER_PRECISION			FAIL_CHECKER_DPS_CONTRACT -> FAIL_CHECKER_PRECISION	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC23_CHECKER_DPS_CONTRACT_GATE_RUN_V1.json
NC24	FAIL_PARENT_GEOMETRY_RECONSTRUCTION	CANONICAL_V1_NC18	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION -> FAIL_PARENT_GEOMETRY_RECONSTRUCTION	PARTIAL	existing mutation hits parent-hi not required left endpoint
NC25	FAIL_SOURCE_STATE			FAIL_HEAD_MISMATCH;FAIL_DIRTY_SOURCE_TREE;FAIL_POST_HEAD_MOVED;FAIL_POST_SOURCE_DIRTY -> FAIL_SOURCE_STATE	MISSING	
NC26	FAIL_LAMBDA_TILING	CANONICAL_V1_NC19	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION/FAIL_TILE_* -> FAIL_LAMBDA_TILING	PARTIAL	dedicated residual control required
NC27	FAIL_SOURCE_PIN			FAIL_KERNEL_MANIFEST_PIN -> FAIL_SOURCE_PIN	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC27_KERNEL_MANIFEST_PIN_GATE_RUN_V1.json
NC28	FAIL_TRANSPORT_LEMMA			FAIL_TRANSPORT_LEMMA_ID;FAIL_TRANSPORT_HUMAN_AUDIT;FAIL_JUDGE_VERDICT;FAIL_SIGNATURE_RECEIPT_LINK -> FAIL_TRANSPORT_LEMMA	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC28A_TRANSPORT_LEMMA_ID_GATE_RUN_V1.json;F_LAMBDA_NC28B_TRANSPORT_HUMAN_AUDIT_GATE_RUN_V1.json;F_LAMBDA_NC28C_JUDGE_VERDICT_GATE_RUN_V1.json;F_LAMBDA_NC28D_SIGNATURE_RECEIPT_LINK_GATE_RUN_V1.json
NC32	FAIL_REQUIRED_SIGN_MISSING	REPLAY_NC32_REQUIRED_SIGN_MISSING	FAIL_REQUIRED_SIGN_MISSING	identity	COVERED	
NC04b	FAIL_PREDICTOR_INPUT_PIN	CANONICAL_V1_NC09;CANONICAL_V1_NC10	FAIL_PREDICTOR_INPUT;FAIL_PREDICTOR_HULL_INTERIOR	existing predictor controls are not exact A0B q_left/q_right pin mutation	COVERED	dedicated A0B pin control required; promoted from PARTIAL by dedicated receipt evidence: F_LAMBDA_NC04b_PREDICTOR_PIN_GATE_RUN_V1.json
CUSTOM_ACCEPT	FAIL_CUSTOM_PREDICATE_FORBIDDEN	REPLAY_CUSTOM_ACCEPT	FAIL_CUSTOM_PREDICATE_FORBIDDEN	identity	COVERED	
