CONTROL_ID	CONTRACT_ID	EXPECTED_SPECIFIC_CODE	EXPECTED_UPSTREAM_CODE	SPECIFIC_GATE_KIND	GATE_ASSET_CLASS	GATE_DEFINITION_STATE	REPORT_ONLY_NUMERIC	EXECUTION_STATE
NC17	NC17	FAIL_ANCHOR_BUDGET	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	PLANNED	NOT_EXECUTED
NC18	NC18	FAIL_CHECKER_PARENT_TOTAL_BUDGET	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC21	NC21	FAIL_PARENT_WIDTH	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC23	NC23	FAIL_CHECKER_DPS_CONTRACT	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC27	NC27	FAIL_KERNEL_MANIFEST_PIN	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC28a	NC28	FAIL_TRANSPORT_LEMMA_ID	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC28b	NC28	FAIL_TRANSPORT_HUMAN_AUDIT	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC28c	NC28	FAIL_JUDGE_VERDICT	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC28d	NC28	FAIL_SIGNATURE_RECEIPT_LINK	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC32	NC32	FAIL_REQUIRED_SIGN_MISSING	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC04b	NC04b	FAIL_PREDICTOR_INPUT_PIN	FAIL_POST_BASELINE_FILE_SET	A0B_PIN_GATE	A0B_PIN_GATE	FROZEN_DEDICATED_GATE	NO	NOT_EXECUTED
CUSTOM_ACCEPT	CUSTOM_ACCEPT	FAIL_CUSTOM_PREDICATE_FORBIDDEN	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
