CONTRACT_NC_ID	CONTRACT_EXPECTED_CODE	CATALOG_ID(s)	CATALOG_OBSERVED_CODE	IMPLEMENTATION_SUBCODE_TO_CONTRACT_CODE	COVERAGE	METHOD_OR_NOTE
NC11	FAIL_UNRESOLVED		ANGULAR_EVALUATION_BUDGET	ANGULAR_EVALUATION_BUDGET -> FAIL_UNRESOLVED	COVERED	gate-unit sub-code mapping predeclared before execution; native route unresolved/budget exhaustion is an EnclosureFailure; checker upstream wrapper is FAIL_FLAMBDA_BUDGET_OR_ENCLOSURE; tiny-cap execution required before COVERED execution evidence: receipt F_LAMBDA_NC11_UNRESOLVED_GATE_RUN_V1.json sha256=e400830340df7743bd5a042dd68ae8b2f925e230130d03c27dbb64c37e6e91ea commit=7283be452a6223400d53bdb3c8ac0ab755a8411c
NC12	FAIL_NORMALIZATION_MISMATCH			FAIL_FLAMBDA_NORMALIZATION_BITS -> FAIL_NORMALIZATION_MISMATCH	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC12_NORMALIZATION_BITS_GATE_RUN_V1.json
NC13	FAIL_ANCHOR_EVIDENCE_CLASS			FAIL_ANCHOR_EVIDENCE -> FAIL_ANCHOR_EVIDENCE_CLASS	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC13_ANCHOR_EVIDENCE_GATE_RUN_V1.json
NC14	FAIL_ANCHOR_PIN			FAIL_TRANSPORT_RECEIPT_PIN/FAIL_SIGNATURE_RECEIPT_LINK candidate -> FAIL_ANCHOR_PIN	COVERED	 promoted from MISSING by dedicated exact gate receipt evidence: F_LAMBDA_NC14_TRANSPORT_RECEIPT_PIN_GATE_RUN_V1.json sha256=ade5017db0314311981525ed062222db0e2ac2e33f3f56ea5723cd1b81605d4d commit=2b45df3982447b88fbef21d078812fbdf267ca71
NC15	FAIL_ANCHOR_SIGN			FAIL_ANCHOR_SIGN_NEG;FAIL_ANCHOR_SIGN_POS -> FAIL_ANCHOR_SIGN	COVERED	both canonical side-specific subcases executed dynamically without numerical evaluator; NEG receipt F_LAMBDA_NC15A_ANCHOR_SIGN_NEG_GATE_RUN_V1.json sha256=893d4c6327ed7a746f95b17b5910c3fcc6e75a5d940a858974a3883c7d7a0e8d commit=0c3be5210c19012e96f6afa44527b275c68a92b7; POS receipt F_LAMBDA_NC15B_ANCHOR_SIGN_POS_GATE_RUN_V1.json sha256=37a24db0181c6926bd56ae12337e820bd81bb761b8efe230efe76bb3de691069 commit=83e8ea1cdf0c585dd81823320a4fd9523eb98f62; FAIL_ANCHOR_SIGN_CONTRACT is not a required selected canonical subcase
NC16	FAIL_BUDGET			FAIL_FLAMBDA_BUDGET -> FAIL_BUDGET	COVERED	needs numerics or permitted receipt mutation; promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC16_FLAMBDA_BUDGET_GATE_RUN_V1.json
NC17	FAIL_BUDGET			FAIL_ANCHOR_BUDGET -> FAIL_BUDGET	COVERED	needs numerics or permitted receipt mutation; promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC17_ANCHOR_BUDGET_GATE_RUN_V1.json
NC18	FAIL_PARENT_BUDGET			FAIL_PARENT_TOTAL_BUDGET;FAIL_CHECKER_PARENT_TOTAL_BUDGET -> FAIL_PARENT_BUDGET	MISSING	
NC19	FAIL_BUDGET_CONTRACT_MUTATION			FAIL_CHECKER_FLAMBDA_CAP_PIN -> FAIL_BUDGET_CONTRACT_MUTATION	COVERED	frozen exact checker_flambda_cell_call_cap predicate executed dynamically; receipt F_LAMBDA_NC19_CHECKER_FLAMBDA_CAP_PIN_GATE_RUN_V1.json sha256=28b790f40cc47dafca21a5246a21949dbe87245ed566dd8976eeb5b5cb0832ac commit=9cf7a72c0c596f3059fd056c2afb0793e6a291b4; execution_head=7c665260e7146b6d2183a7cad3e36d8529334f8a; canonical tracked PIN_FILE mutation not claimed
NC20	FAIL_CHECKER_NOT_INDEPENDENT	CANONICAL_V1_NC20	FAIL_PRODUCER_GLUE_DEPENDENCY	FAIL_PRODUCER_GLUE_DEPENDENCY -> FAIL_CHECKER_NOT_INDEPENDENT	COVERED	shared pinned kernel remains allowed
NC21	FAIL_UNSUPPORTED_NOMINAL_WIDTH	CANONICAL_V1_NC11	FAIL_TUBE_GEOMETRY_RECONSTRUCTION	FAIL_PARENT_WIDTH -> FAIL_UNSUPPORTED_NOMINAL_WIDTH	COVERED	existing v1 mutation is related but not dedicated unsupported-width control; promoted from PARTIAL by dedicated exact gate receipt evidence: F_LAMBDA_NC21_PARENT_WIDTH_GATE_RUN_V1.json sha256=4955a3186d899d54457da8e7dca0d10b48bf5ded71faa7aa5d3e1f9b0567a892 commit=6171bf34d40a7f7913fdc7bca058b46e48a005dd
NC22	FAIL_EVIDENCE_CLASS	CANONICAL_V1_NC02	FAIL_PRODUCER_EVIDENCE_CLASS	FAIL_PRODUCER_EVIDENCE_CLASS -> FAIL_EVIDENCE_CLASS	PARTIAL	need explicit BINDING_CANDIDATE->BINDING mutation
NC23	FAIL_CHECKER_PRECISION			FAIL_CHECKER_DPS_CONTRACT -> FAIL_CHECKER_PRECISION	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC23_CHECKER_DPS_CONTRACT_GATE_RUN_V1.json
NC24	FAIL_PARENT_GEOMETRY_RECONSTRUCTION	CANONICAL_V1_NC18	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION -> FAIL_PARENT_GEOMETRY_RECONSTRUCTION	PARTIAL	existing mutation hits parent-hi not required left endpoint
NC25	FAIL_SOURCE_STATE			FAIL_DIRTY_SOURCE_TREE;FAIL_HEAD_MISMATCH -> FAIL_SOURCE_STATE	COVERED	both frozen canonical NC25 subfamilies executed dynamically through historical checker _precheck; NC25a=FAIL_DIRTY_SOURCE_TREE; NC25b=FAIL_HEAD_MISMATCH; receipt F_LAMBDA_NC25_SOURCE_STATE_GATE_RUN_V1.json sha256=6d1f5b1817e288d2e943bc010d95bd2fb6cd1325c26d54ad367bfa64f4c9c0cc commit=904ffadd16aff102ac3b6eaee3149f612b87e5e7; execution_head=c582b7485e75dd3bc93631da534d3ee403462788
NC26	FAIL_LAMBDA_TILING	CANONICAL_V1_NC19	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION/FAIL_TILE_* -> FAIL_LAMBDA_TILING	PARTIAL	dedicated residual control required
NC27	FAIL_SOURCE_PIN			FAIL_KERNEL_MANIFEST_PIN -> FAIL_SOURCE_PIN	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC27_KERNEL_MANIFEST_PIN_GATE_RUN_V1.json
NC28	FAIL_TRANSPORT_LEMMA			FAIL_TRANSPORT_LEMMA_ID;FAIL_TRANSPORT_HUMAN_AUDIT;FAIL_JUDGE_VERDICT;FAIL_SIGNATURE_RECEIPT_LINK -> FAIL_TRANSPORT_LEMMA	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC28A_TRANSPORT_LEMMA_ID_GATE_RUN_V1.json;F_LAMBDA_NC28B_TRANSPORT_HUMAN_AUDIT_GATE_RUN_V1.json;F_LAMBDA_NC28C_JUDGE_VERDICT_GATE_RUN_V1.json;F_LAMBDA_NC28D_SIGNATURE_RECEIPT_LINK_GATE_RUN_V1.json
NC32	FAIL_REQUIRED_SIGN_MISSING	REPLAY_NC32_REQUIRED_SIGN_MISSING	FAIL_REQUIRED_SIGN_MISSING	identity	COVERED	
NC04b	FAIL_PREDICTOR_INPUT_PIN	CANONICAL_V1_NC09;CANONICAL_V1_NC10	FAIL_PREDICTOR_INPUT;FAIL_PREDICTOR_HULL_INTERIOR	existing predictor controls are not exact A0B q_left/q_right pin mutation	COVERED	dedicated A0B pin control required; promoted from PARTIAL by dedicated receipt evidence: F_LAMBDA_NC04b_PREDICTOR_PIN_GATE_RUN_V1.json
CUSTOM_ACCEPT	FAIL_CUSTOM_PREDICATE_FORBIDDEN	REPLAY_CUSTOM_ACCEPT	FAIL_CUSTOM_PREDICATE_FORBIDDEN	identity	COVERED	
